id,university,country,city,continent,latitude,longitude,location_source
89,Technische Universität München,Germany,Munich,Europe,48.14978,11.568197,CBS MoveON snapshot 2026-09-21
90,Universität Hamburg,Germany,Hamburg,Europe,53.562662,9.987422,CBS MoveON snapshot 2026-09-21
91,Universität Mannheim,Germany,Mannheim,Europe,49.482534,8.465204,CBS MoveON snapshot 2026-09-21
92,Universität zu Köln,Germany,Cologne,Europe,50.92579,6.93076,CBS MoveON snapshot 2026-09-21
93,Universität Münster,Germany,Münster,Europe,51.963487,7.616758,CBS MoveON snapshot 2026-09-21
94,WHU,Germany,Vallendar,Europe,50.40146,7.615384,CBS MoveON snapshot 2026-09-21
95,Zeppelin University,Germany,Friedrichshafen,Europe,47.658949,9.433624,CBS MoveON snapshot 2026-09-21
96,Athens University of Economics & Business - AUEB,Greece,Athens,Europe,37.97918,23.716647,CBS MoveON snapshot 2026-09-21
97,Greenland University,Greenland,Nuuk,North America,64.1909,-51.6985,CBS MoveON snapshot 2026-09-21
98,City University of Hong Kong (CityU),Hong Kong,Hong Kong,Asia,22.320336,114.23905,CBS MoveON snapshot 2026-09-21
99,Hong Kong Baptist University,Hong Kong,Hong Kong,Asia,22.320336,114.23905,CBS MoveON snapshot 2026-09-21
100,The Chinese University of Hong Kong (CUHK),Hong Kong,Hong Kong,Asia,22.320336,114.23905,CBS MoveON snapshot 2026-09-21
101,The Hong Kong Polytechnic University,Hong Kong,Hong Kong,Asia,22.320336,114.23905,CBS MoveON snapshot 2026-09-21
102,The Hong Kong University of Science and Technology (HKUST),Hong Kong,Hong Kong,Asia,22.320336,114.23905,CBS MoveON snapshot 2026-09-21
103,The University of Hong Kong (HKU),Hong Kong,Hong Kong,Asia,22.362242,114.105301,CBS MoveON snapshot 2026-09-21
104,Reykjavik University,Iceland,Reykjavík,Europe,64.135338,-21.89521,CBS MoveON snapshot 2026-09-21
105,University of Iceland,Iceland,Reykjavík,Europe,,,
106,Universitas Gadjah Mada,Indonesia,Yogyakarta,Asia,-7.797224,110.368797,CBS MoveON snapshot 2026-09-21
107,University College Cork,Ireland,Cork,Europe,51.89217,-8.49286,CBS MoveON snapshot 2026-09-21
108,University College Dublin,Ireland,Dublin,Europe,53.307,-6.21519,CBS MoveON snapshot 2026-09-21
109,University of Limerick,Ireland,Limerick,Europe,52.673162,-8.569708,CBS MoveON snapshot 2026-09-21
110,Reichman University (IDC Herzliya),Israel,Herzliya,Asia,,,
111,Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli',Italy,Rome,Europe,41.895466,12.482324,CBS MoveON snapshot 2026-09-21
112,Università Ca' Foscari Venezia,Italy,Venice,Europe,45.434314,12.326025,CBS MoveON snapshot 2026-09-21
113,Università Commerciale Luigi Bocconi,Italy,Milan,Europe,45.448343,9.189857,CBS MoveON snapshot 2026-09-21
114,Università degli Studi di Bologna 'Alma Mater Studiorum',Italy,Bologna,Europe,44.494446,11.349231,CBS MoveON snapshot 2026-09-21
115,Università degli Studi di Bologna 'Alma Mater Studiorum',Italy,Bologna,Europe,44.494446,11.349231,CBS MoveON snapshot 2026-09-21
116,Università degli Studi di Torino,Italy,Turin,Europe,45.069634,7.689118,CBS MoveON snapshot 2026-09-21
117,Hitotsubashi University,Japan,Kunitachi (Tokyo),Asia,35.678451,139.682282,CBS MoveON snapshot 2026-09-21
118,Keio University,Japan,Tokyo,Asia,35.678451,139.682282,CBS MoveON snapshot 2026-09-21
119,NUCB Undergraduate School,Japan,Nagoya,Asia,35.155904,136.915863,CBS MoveON snapshot 2026-09-21
120,Rikkyo University,Japan,Tokyo,Asia,35.678451,139.682282,CBS MoveON snapshot 2026-09-21
121,Ritsumeikan Asia Pacific University,Japan,Beppu,Asia,33.336677,131.468174,CBS MoveON snapshot 2026-09-21
122,Ritsumeikan University,Japan,Kyoto,Asia,34.999624,135.753244,CBS MoveON snapshot 2026-09-21
123,Waseda University,Japan,Tokyo,Asia,35.678451,139.682282,CBS MoveON snapshot 2026-09-21
124,Vilnius University,Lithuania,Vilnius,Europe,54.682699,25.286671,CBS MoveON snapshot 2026-09-21
125,Monash University Malaysia,Malaysia,Bandar Sunway,Asia,3.0646,101.6031,manual campus/city fallback
126,University of Malaya,Malaysia,Kuala Lumpur,Asia,3.15021,101.707703,CBS MoveON snapshot 2026-09-21
127,Instituto Tecnológico Autónomo de México (ITAM),Mexico,Mexico City,North America,19.42705,-99.127571,CBS MoveON snapshot 2026-09-21
128,"Tec de Monterrey, Campus Guadalajara",Mexico,Guadalajara,North America,20.67359,-103.343803,CBS MoveON snapshot 2026-09-21
129,"Tec de Monterrey, Campus Mexico City",Mexico,Mexico City,North America,19.432608,-99.133208,CBS MoveON snapshot 2026-09-21
130,"Tec de Monterrey, Campus Monterrey",Mexico,Monterrey,North America,25.649496,-100.289984,CBS MoveON snapshot 2026-09-21
131,"Tec de Monterrey, Campus Querétaro",Mexico,Querétaro,North America,20.5888,-100.3899,manual campus/city fallback
132,"Tec de Monterrey, Campus Santa Fe",Mexico,Mexico City,North America,19.3574,-99.276,manual campus/city fallback
133,Al Akhawayn University,Morocco,Ifrane,Africa,33.5281,-5.1066,CBS MoveON snapshot 2026-09-21
134,Rabat Business School,Morocco,Rabat,Africa,34.022929,-6.766849,CBS MoveON snapshot 2026-09-21
135,Erasmus Universiteit Rotterdam,Netherlands,Rotterdam,Europe,51.91683,4.52318,CBS MoveON snapshot 2026-09-21
136,Maastricht University,Netherlands,Maastricht,Europe,50.849608,5.664182,CBS MoveON snapshot 2026-09-21
137,Radboud Universiteit Nijmegen,Netherlands,Nijmegen,Europe,51.819234,5.860564,CBS MoveON snapshot 2026-09-21
138,Tilburg University,Netherlands,Tilburg,Europe,51.56192,5.04615,CBS MoveON snapshot 2026-09-21
139,Universiteit Utrecht,Netherlands,Utrecht,Europe,52.085136,5.17556,CBS MoveON snapshot 2026-09-21
140,Universiteit van Amsterdam,Netherlands,Amsterdam,Europe,52.368765,4.890174,CBS MoveON snapshot 2026-09-21
141,University of Groningen,Netherlands,Groningen,Europe,53.219105,6.56247,CBS MoveON snapshot 2026-09-21
142,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,Europe,52.335295,4.859734,CBS MoveON snapshot 2026-09-21
143,Auckland University of Technology,New Zealand,Auckland,Oceania,-36.847385,174.765735,CBS MoveON snapshot 2026-09-21
144,Lincoln University,New Zealand,Lincoln,Oceania,-43.641918,172.470469,CBS MoveON snapshot 2026-09-21
145,University of Canterbury,New Zealand,Christchurch,Oceania,-43.525388,172.582493,CBS MoveON snapshot 2026-09-21
146,University of Otago,New Zealand,Dunedin,Oceania,-45.87456,170.503388,CBS MoveON snapshot 2026-09-21
147,Victoria University of Wellington,New Zealand,Wellington,Oceania,-41.28648,174.776217,CBS MoveON snapshot 2026-09-21
148,BI Norwegian Business School,Norway,Oslo,Europe,59.91382,10.738741,CBS MoveON snapshot 2026-09-21
149,Norwegian School of Economics,Norway,Bergen,Europe,60.422937,5.302383,CBS MoveON snapshot 2026-09-21
150,Universidad ESAN,Peru,Lima,South America,-12.093084,-77.046491,CBS MoveON snapshot 2026-09-21
151,Universidad San Ignacio de Loyola (USIL),Peru,Lima,South America,-12.093084,-77.046491,CBS MoveON snapshot 2026-09-21
152,Kozminski University,Poland,Warsaw,Europe,52.272254,21.014949,CBS MoveON snapshot 2026-09-21
153,ISCTE - Instituto Universitário de Lisboa,Portugal,Lisbon,Europe,38.747623,-9.153291,CBS MoveON snapshot 2026-09-21
154,Universidade Católica Portuguesa,Portugal,Lisbon,Europe,38.749461,-9.16497,CBS MoveON snapshot 2026-09-21
155,Universidade Católica Portuguesa,Portugal,Porto,Europe,38.749461,-9.16497,CBS MoveON snapshot 2026-09-21
156,Universidade de Lisboa,Portugal,Lisbon,Europe,38.733706,-9.159978,CBS MoveON snapshot 2026-09-21
157,Universidade Nova de Lisboa,Portugal,Lisbon,Europe,38.752493,-9.159114,CBS MoveON snapshot 2026-09-21
158,Nanyang Technological University,Singapore,Singapore,Asia,1.348427,103.684355,CBS MoveON snapshot 2026-09-21
159,National University of Singapore,Singapore,Singapore,Asia,1.297972,103.77309,CBS MoveON snapshot 2026-09-21
160,Singapore Management University,Singapore,Singapore,Asia,1.296704,103.85202,CBS MoveON snapshot 2026-09-21
161,University of Ljubljana,Slovenia,Ljubljana,Europe,46.049554,14.504194,CBS MoveON snapshot 2026-09-21
