university_id,university,city,country,sep_c,oct_c,nov_c,dec_c,sep_dec_avg_c,period,source_url,refreshed_at
95,Zeppelin University,Friedrichshafen,Germany,,,,,,1991-2020,https://power.larc.nasa.gov/,
96,Athens University of Economics & Business - AUEB,Athens,Greece,,,,,,1991-2020,https://power.larc.nasa.gov/,
97,Greenland University,Nuuk,Greenland,,,,,,1991-2020,https://power.larc.nasa.gov/,
98,City University of Hong Kong (CityU),Hong Kong,Hong Kong,,,,,,1991-2020,https://power.larc.nasa.gov/,
99,Hong Kong Baptist University,Hong Kong,Hong Kong,,,,,,1991-2020,https://power.larc.nasa.gov/,
100,The Chinese University of Hong Kong (CUHK),Hong Kong,Hong Kong,,,,,,1991-2020,https://power.larc.nasa.gov/,
101,The Hong Kong Polytechnic University,Hong Kong,Hong Kong,,,,,,1991-2020,https://power.larc.nasa.gov/,
102,The Hong Kong University of Science and Technology (HKUST),Hong Kong,Hong Kong,,,,,,1991-2020,https://power.larc.nasa.gov/,
103,The University of Hong Kong (HKU),Hong Kong,Hong Kong,,,,,,1991-2020,https://power.larc.nasa.gov/,
104,Reykjavik University,Reykjavík,Iceland,,,,,,1991-2020,https://power.larc.nasa.gov/,
105,University of Iceland,Reykjavík,Iceland,,,,,,1991-2020,https://power.larc.nasa.gov/,
106,Universitas Gadjah Mada,Yogyakarta,Indonesia,,,,,,1991-2020,https://power.larc.nasa.gov/,
107,University College Cork,Cork,Ireland,,,,,,1991-2020,https://power.larc.nasa.gov/,
108,University College Dublin,Dublin,Ireland,,,,,,1991-2020,https://power.larc.nasa.gov/,
109,University of Limerick,Limerick,Ireland,,,,,,1991-2020,https://power.larc.nasa.gov/,
110,Reichman University (IDC Herzliya),Herzliya,Israel,,,,,,1991-2020,https://power.larc.nasa.gov/,
111,Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli',Rome,Italy,,,,,,1991-2020,https://power.larc.nasa.gov/,
112,Università Ca' Foscari Venezia,Venice,Italy,,,,,,1991-2020,https://power.larc.nasa.gov/,
113,Università Commerciale Luigi Bocconi,Milan,Italy,,,,,,1991-2020,https://power.larc.nasa.gov/,
114,Università degli Studi di Bologna 'Alma Mater Studiorum',Bologna,Italy,,,,,,1991-2020,https://power.larc.nasa.gov/,
115,Università degli Studi di Bologna 'Alma Mater Studiorum',Bologna,Italy,,,,,,1991-2020,https://power.larc.nasa.gov/,
116,Università degli Studi di Torino,Turin,Italy,,,,,,1991-2020,https://power.larc.nasa.gov/,
117,Hitotsubashi University,Kunitachi (Tokyo),Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
118,Keio University,Tokyo,Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
119,NUCB Undergraduate School,Nagoya,Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
120,Rikkyo University,Tokyo,Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
121,Ritsumeikan Asia Pacific University,Beppu,Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
122,Ritsumeikan University,Kyoto,Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
123,Waseda University,Tokyo,Japan,,,,,,1991-2020,https://power.larc.nasa.gov/,
124,Vilnius University,Vilnius,Lithuania,,,,,,1991-2020,https://power.larc.nasa.gov/,
125,Monash University Malaysia,Bandar Sunway,Malaysia,,,,,,1991-2020,https://power.larc.nasa.gov/,
126,University of Malaya,Kuala Lumpur,Malaysia,,,,,,1991-2020,https://power.larc.nasa.gov/,
127,Instituto Tecnológico Autónomo de México (ITAM),Mexico City,Mexico,,,,,,1991-2020,https://power.larc.nasa.gov/,
