university_id,university,founded_year,official_website,official_history_url,history_note,metadata_source,history_source,wikidata_qid,refreshed_at
111,Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli',,,,,,,,
112,Università Ca' Foscari Venezia,,,,,,,,
113,Università Commerciale Luigi Bocconi,,,,,,,,
114,Università degli Studi di Bologna 'Alma Mater Studiorum',,,,,,,,
115,Università degli Studi di Bologna 'Alma Mater Studiorum',,,,,,,,
116,Università degli Studi di Torino,,,,,,,,
117,Hitotsubashi University,,,,,,,,
118,Keio University,,,,,,,,
119,NUCB Undergraduate School,,,,,,,,
120,Rikkyo University,,,,,,,,
121,Ritsumeikan Asia Pacific University,,,,,,,,
122,Ritsumeikan University,,,,,,,,
123,Waseda University,,,,,,,,
124,Vilnius University,,,,,,,,
125,Monash University Malaysia,,,,,,,,
126,University of Malaya,,,,,,,,
127,Instituto Tecnológico Autónomo de México (ITAM),,,,,,,,
128,"Tec de Monterrey, Campus Guadalajara",,,,,,,,
129,"Tec de Monterrey, Campus Mexico City",,,,,,,,
130,"Tec de Monterrey, Campus Monterrey",,,,,,,,
131,"Tec de Monterrey, Campus Querétaro",,,,,,,,
132,"Tec de Monterrey, Campus Santa Fe",,,,,,,,
133,Al Akhawayn University,,,,,,,,
134,Rabat Business School,,,,,,,,
135,Erasmus Universiteit Rotterdam,,,,,,,,
136,Maastricht University,,,,,,,,
137,Radboud Universiteit Nijmegen,,,,,,,,
138,Tilburg University,,,,,,,,
139,Universiteit Utrecht,,,,,,,,
140,Universiteit van Amsterdam,,,,,,,,
141,University of Groningen,,,,,,,,
142,Vrije Universiteit Amsterdam,,,,,,,,
143,Auckland University of Technology,,,,,,,,
144,Lincoln University,,,,,,,,
145,University of Canterbury,,,,,,,,
146,University of Otago,,,,,,,,
147,Victoria University of Wellington,,,,,,,,
148,BI Norwegian Business School,,,,,,,,
149,Norwegian School of Economics,,,,,,,,
150,Universidad ESAN,,,,,,,,
151,Universidad San Ignacio de Loyola (USIL),,,,,,,,
152,Kozminski University,,,,,,,,
153,ISCTE - Instituto Universitário de Lisboa,,,,,,,,
154,Universidade Católica Portuguesa,,,,,,,,
155,Universidade Católica Portuguesa,,,,,,,,
156,Universidade de Lisboa,,,,,,,,
157,Universidade Nova de Lisboa,,,,,,,,
158,Nanyang Technological University,,,,,,,,
159,National University of Singapore,,,,,,,,
160,Singapore Management University,,,,,,,,
161,University of Ljubljana,,,,,,,,
162,Chung-Ang University,,,,,,,,
163,Ewha Womans University,,,,,,,,
164,Korea University,,,,,,,,
165,Korea University,,,,,,,,
166,Yonsei University,,,,,,,,
167,IE University,,,,,,,,
168,Universidad Carlos III de Madrid,,,,,,,,
169,Universidad CEU San Pablo,,,,,,,,
170,"Universidad de Deusto, Campus Bilbao",,,,,,,,
171,"Universidad de Deusto, Campus San Sebastian",,,,,,,,
172,Universidad de Navarra,,,,,,,,
173,Universidad Pontificia Comillas de Madrid (ICADE),,,,,,,,
174,Universidad Rey Juan Carlos,,,,,,,,
175,Universitat Autònoma de Barcelona (UAB),,,,,,,,
176,Universitat de Barcelona,,,,,,,,
177,Universitat de València,,,,,,,,
178,Universitat Pompeu Fabra,,,,,,,,
179,Universitat Pompeu Fabra,,,,,,,,
180,Universitat Ramon Llull,,,,,,,,
181,Universitat Ramon Llull,,,,,,,,
182,Lund University,,,,,,,,
183,Stockholm School of Economics,,,,,,,,
184,Stockholm University,,,,,,,,
185,University of Gothenburg,,,,,,,,
186,Uppsala universitet,,,,,,,,
187,Université de Genève,,,,,,,,
188,Université de Lausanne,,,,,,,,
189,Universität Bern,,,,,,,,
190,Universität St. Gallen,,,,,,,,
191,Universität Zürich,,,,,,,,
192,National Chengchi University (NCCU),,,,,,,,
193,National Taiwan University (NTU),,,,,,,,
194,Soochow University,,,,,,,,
195,Chulalongkorn University,,,,,,,,
196,Chulalongkorn University,,,,,,,,
197,Thammasat University,,,,,,,,
198,Istanbul Bilgi University,,,,,,,,
199,Koc University,,,,,,,,
200,Sabanci University,,,,,,,,
201,Aston University,,,,,,,,
202,Cardiff University,,,,,,,,
203,"City St. George's, University of London",,,,,,,,
204,"European Business School (EBS) London, Regent's University London",,,,,,,,
205,King's College London,,,,,,,,
206,London Metropolitan University,,,,,,,,
207,Oxford Brookes University,,,,,,,,
208,Regent's University London,,,,,,,,
209,The University of Manchester,,,,,,,,
210,University of Aberdeen,,,,,,,,
211,University of Bath,,,,,,,,
212,University of Bristol,,,,,,,,
213,University of Edinburgh,,,,,,,,
214,University of Essex,,,,,,,,
215,University of Exeter,,,,,,,,
216,University of Glasgow,,,,,,,,
217,University of Leeds,,,,,,,,
218,University of Leicester,,,,,,,,
219,University of Liverpool,,,,,,,,
220,University of Sheffield,,,,,,,,
221,University of Sheffield,,,,,,,,
222,University of Strathclyde Glasgow,,,,,,,,
223,University of Warwick,,,,,,,,
224,University of Westminster,,,,,,,,
225,University of Westminster,,,,,,,,
226,Arizona State University,,,,,,,,
227,Babson College,,,,,,,,
228,Bentley University,,,,,,,,
229,Boston College,,,,,,,,
230,Boston University,,,,,,,,
231,City University of New York,,,,,,,,
232,Cornell University,,,,,,,,
233,Cornell University,,,,,,,,
234,Emory University,,,,,,,,
235,George Washington University,,,,,,,,
236,Indiana University,,,,,,,,
237,New York University,,,,,,,,
238,North Carolina State University,,,,,,,,
239,Ohio State University,,,,,,,,
240,Purdue University,,,,,,,,
241,"State University of New York, Stony Brook",,,,,,,,
242,Texas A&M University,,,,,,,,
243,Tulane University,,,,,,,,
244,University of Hawaii at Manoa,,,,,,,,
245,University of Maryland,,,,,,,,
246,University of Michigan,,,,,,,,
247,"University of Minnesota, Twin Cities",,,,,,,,
248,University of North Carolina at Chapel Hill,,,,,,,,
249,University of Pennsylvania,,,,,,,,
250,University of Richmond,,,,,,,,
251,University of South Carolina,,,,,,,,
252,University of Southern California,,,,,,,,
253,University of Texas at Austin,,,,,,,,
254,University of Washington,,,,,,,,
255,University of Wisconsin - La Crosse,,,,,,,,
256,University of Wisconsin - Madison,,,,,,,,
257,Universidad Católica del Uruguay,,,,,,,,
258,Universidad de Montevideo,,,,,,,,
