university_id,university,rank,matched_institution,match_method,status,source_url,ranking_year,official_region,official_slug
130,"Tec de Monterrey, Campus Monterrey",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
131,"Tec de Monterrey, Campus Querétaro",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
132,"Tec de Monterrey, Campus Santa Fe",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
133,Al Akhawayn University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
134,Rabat Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
135,Erasmus Universiteit Rotterdam,101-150,Erasmus University Rotterdam,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,erasmus-university-rotterdam
136,Maastricht University,301-400,Maastricht University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,maastricht-university
137,Radboud Universiteit Nijmegen,151-200,Radboud University Nijmegen,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,radboud-university-nijmegen
138,Tilburg University,801-900,Tilburg University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,tilburg-university
139,Universiteit Utrecht,60,Utrecht University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,utrecht-university
140,Universiteit van Amsterdam,101-150,University of Amsterdam,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,university-of-amsterdam
141,University of Groningen,84,University of Groningen,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,university-of-groningen
142,Vrije Universiteit Amsterdam,151-200,Vrije Universiteit Amsterdam,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Netherlands,vrije-universiteit-amsterdam
143,Auckland University of Technology,801-900,Auckland University of Technology,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,New Zealand,aut-university
144,Lincoln University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
145,University of Canterbury,501-600,University of Canterbury,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,New Zealand,university-of-canterbury
146,University of Otago,401-500,University of Otago,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,New Zealand,university-of-otago
147,Victoria University of Wellington,501-600,Victoria University of Wellington,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,New Zealand,victoria-university-of-wellington
148,BI Norwegian Business School,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
149,Norwegian School of Economics,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
150,Universidad ESAN,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
151,Universidad San Ignacio de Loyola (USIL),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
152,Kozminski University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
153,ISCTE - Instituto Universitário de Lisboa,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
154,Universidade Católica Portuguesa,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
155,Universidade Católica Portuguesa,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
156,Universidade de Lisboa,301-400,University of Lisbon,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Portugal,university-of-lisbon
157,Universidade Nova de Lisboa,701-800,NOVA University Lisbon,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Portugal,nova-university-lisbon
158,Nanyang Technological University,84,Nanyang Technological University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Singapore,nanyang-technological-university
159,National University of Singapore,53,National University of Singapore,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Singapore,national-university-of-singapore
160,Singapore Management University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
161,University of Ljubljana,601-700,University of Ljubljana,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Slovenia,university-of-ljubljana
162,Chung-Ang University,601-700,Chung-Ang University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,South Korea,chung-ang-university
163,Ewha Womans University,701-800,Ewha Womans University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,South Korea,ewha-womans-university
164,Korea University,201-300,Korea University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,South Korea,korea-university
165,Korea University,201-300,Korea University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,South Korea,korea-university
166,Yonsei University,151-200,Yonsei University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,South Korea,yonsei-university
167,IE University,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
168,Universidad Carlos III de Madrid,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
169,Universidad CEU San Pablo,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
170,"Universidad de Deusto, Campus Bilbao",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
171,"Universidad de Deusto, Campus San Sebastian",,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
172,Universidad de Navarra,401-500,University of Navarra,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,university-of-navarra
173,Universidad Pontificia Comillas de Madrid (ICADE),,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
174,Universidad Rey Juan Carlos,901-1000,King Juan Carlos University,translated_name_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,king-juan-carlos-university
175,Universitat Autònoma de Barcelona (UAB),201-300,Autonomous University of Barcelona,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,autonomous-university-of-barcelona
176,Universitat de Barcelona,151-200,University of Barcelona,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,university-of-barcelona
177,Universitat de València,301-400,University of Valencia,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,university-of-valencia
178,Universitat Pompeu Fabra,401-500,Pompeu Fabra University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,pompeu-fabra-university
179,Universitat Pompeu Fabra,401-500,Pompeu Fabra University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Spain,pompeu-fabra-university
180,Universitat Ramon Llull,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
181,Universitat Ramon Llull,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
182,Lund University,101-150,Lund University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Sweden,lund-university
183,Stockholm School of Economics,701-800,Stockholm School of Economics,official_name_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Sweden,stockholm-school-of-economics
184,Stockholm University,101-150,Stockholm University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Sweden,stockholm-university
185,University of Gothenburg,151-200,University of Gothenburg,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Sweden,university-of-gothenburg
186,Uppsala universitet,94,Uppsala University,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Sweden,uppsala-university
187,Université de Genève,55,University of Geneva,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Switzerland,university-of-geneva
188,Université de Lausanne,151-200,University of Lausanne,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Switzerland,university-of-lausanne
189,Universität Bern,151-200,University of Bern,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Switzerland,university-of-bern
190,Universität St. Gallen,,,verified_absent_from_official_top_1000,not_top_1000,https://www.shanghairanking.com/rankings/arwu/2026,2026,,
191,Universität Zürich,65,University of Zurich,verified_existing_match,matched,https://www.shanghairanking.com/rankings/arwu/2026,2026,Switzerland,university-of-zurich
